experiment_name,epsilon,delta,l2_norm_clip,noise_multiplier,final_train_accuracy,final_val_accuracy,test_accuracy,training_time
non_private,inf,0.0,,0.0,0.998370349407196,0.9884999990463257,0.9868000149726868,85.03668212890625
strong_privacy,2.083867187502928,1e-05,1.0,1.3,0.8817222118377686,0.8811666369438171,0.8855000138282776,1697.0265245437622
medium_privacy,2.7214288330666108,1e-05,1.0,1.1,0.9055926203727722,0.906000018119812,0.9110999703407288,1679.9268794059753
weak_privacy,3.9947561299435614,1e-05,1.0,0.9,0.9263333082199097,0.9269999861717224,0.9297000169754028,1700.0939481258392
very_weak_privacy,7.604554569233451,1e-05,1.0,0.7,0.9411666393280029,0.9391666650772095,0.941100001335144,1705.098072528839
